feature,importance,importance_std,importance_type,model
orp_mv_rt_rolling_30min_median__imputed,3.408111463429897e-05,4.3072315616205395e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_120min_mean__imputed,3.328773369812854e-05,8.035998280009473e-05,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_rolling_30min_std__imputed,2.7519779841789217e-05,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_15min_max__imputed,2.7519779841789217e-05,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_rolling_30min_range__imputed,2.7519779841789217e-05,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_30min_min__imputed,2.7519779841789217e-05,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_120min_max__imputed,2.7519779841789217e-05,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
bod_mg_l_rt_rolling_30min_min__imputed,2.7519779841789217e-05,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
cos_day_of_week__imputed,2.7519779841789217e-05,1.3759889920894608e-05,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_30min_slope__imputed,2.7439780481763876e-05,2.5614290981544916e-05,permutation_average_precision,hist_gradient_boosting
ph_rt_lag_15min__imputed,2.7439780481763876e-05,2.561429098154492e-05,permutation_average_precision,hist_gradient_boosting
bod_mg_l_rt_rolling_15min_median__imputed,2.7439780481763876e-05,2.561429098154492e-05,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_lag_60min__imputed,2.7439780481763876e-05,2.5614290981544916e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_pct_change_30min__imputed,2.7439780481763876e-05,2.561429098154492e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_120min_median__imputed,2.0639834881341913e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt__imputed,2.0639834881341913e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
bod_mg_l_rt_lag_120min__imputed,2.0639834881341913e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_lag_15min__imputed,2.0639834881341913e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_60min_range__imputed,2.0559835521316573e-05,2.7379890529677638e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_120min_std__imputed,2.0559835521316573e-05,2.7379890529677638e-05,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_delta_30min__imputed,2.0478416054325875e-05,3.509944308302579e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_120min_range__imputed,2.0319804606439008e-05,4.633709578706347e-05,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_rolling_30min_std__imputed,2.0072705014273497e-05,6.0226780122129685e-05,permutation_average_precision,hist_gradient_boosting
tss_turbidity_ratio_rt__imputed,1.3759889920916812e-05,1.6852354611555683e-05,permutation_average_precision,hist_gradient_boosting
bod_mg_l_rt_delta_15min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_60min_median__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_lag_15min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_lag_120min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_15min_std__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_delta_15min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_lag_30min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_lag_60min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_rolling_30min_max__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_rolling_60min_max__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_lag_5min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
bod_mg_l_rt_rolling_60min_median__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
conductivity_us_cm_rt_delta_30min__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
bod_mg_l_rt_rolling_15min_max__imputed,1.3759889920894608e-05,1.685235461152849e-05,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_lag_5min__imputed,1.3679890560869268e-05,2.7359781121738536e-05,permutation_average_precision,hist_gradient_boosting
