model,target,split,rows,mae,rmse,mape_pct,r2,fit_seconds
catboost,target_bod_mg_l_plus_30min,validation,1281,46.93264792000491,59.564687788721976,11.941692537676769,0.5074396352562025,5.899199699983001
extra_trees,target_bod_mg_l_plus_30min,validation,1281,47.24075924033423,59.76861055421679,11.985435818539766,0.5040612507285057,10.862255799991544
xgboost,target_bod_mg_l_plus_30min,validation,1281,47.80123802636173,60.300350580867395,12.167710738292183,0.49519761644313554,4.89757810003357
lightgbm,target_bod_mg_l_plus_30min,validation,1281,48.39039793944793,60.97299107384379,12.285722297709556,0.48387282857814906,2.6005289999884553
hist_gradient_boosting,target_bod_mg_l_plus_30min,validation,1281,48.40883834440323,60.907269899486955,12.336001262720222,0.4849848685889825,6.333626099978574
ridge,target_bod_mg_l_plus_30min,validation,1281,49.67776988212025,63.20604058569122,12.609309761285331,0.4453756994230834,0.05259690003003925
mlp_neural_baseline,target_bod_mg_l_plus_30min,validation,1281,56.325662062368394,72.49600409087704,14.094990492077377,0.27035793907975814,3.9095082000130787
persistence_current_value,target_bod_mg_l_plus_30min,validation,1281,64.73282615033094,82.6089858227067,16.32652371823056,0.05259362321046812,
dummy_mean,target_bod_mg_l_plus_30min,validation,1281,70.09477368874063,84.89182578856683,18.124984317492693,-0.0004916559547085697,0.00036050000926479697
random_forest,target_cod_mg_l_plus_30min,test,1291,77.4641582214255,97.43166645557555,9.745474874267714,0.5966215579755187,35.62416599999415
extra_trees,target_cod_mg_l_plus_30min,test,1291,77.54160419075995,97.28675548275721,9.767573741515486,0.5978205622628693,10.415569900011178
catboost,target_cod_mg_l_plus_30min,test,1291,77.58229163542761,97.23648282961788,9.750823458975887,0.5982361050222889,5.206416100030765
xgboost,target_cod_mg_l_plus_30min,test,1291,78.3037637265294,98.01101487434606,9.847248337250221,0.5918101557914134,4.760699999984354
hist_gradient_boosting,target_cod_mg_l_plus_30min,test,1291,79.26919948001601,100.08868912620791,9.958067077020523,0.574320804255946,6.158514600014314
lightgbm,target_cod_mg_l_plus_30min,test,1291,79.48737161601473,99.85470557651634,10.011640757710536,0.5763087512918827,2.4831037999829277
ridge,target_cod_mg_l_plus_30min,test,1291,81.41522216870091,103.2703473343915,10.2377408237286,0.5468273427801549,0.056649999984074384
mlp_neural_baseline,target_cod_mg_l_plus_30min,test,1291,99.08342668755938,135.77476944884708,12.285637733572404,0.21665951805503048,7.921963700035121
persistence_current_value,target_cod_mg_l_plus_30min,test,1291,105.10364679883526,134.72203949657734,13.207949959247472,0.2287596901904947,
dummy_mean,target_cod_mg_l_plus_30min,test,1291,126.22306542050983,153.4707028279418,16.27486731259863,-0.0008370792370686608,0.0006867999909445643
random_forest,target_cod_mg_l_plus_30min,validation,1281,74.97421922056225,96.32879384557026,9.358248255348002,0.6057778351831309,35.62416599999415
extra_trees,target_cod_mg_l_plus_30min,validation,1281,75.05192575962597,96.51683728844948,9.375838691221855,0.6042372107108601,10.415569900011178
catboost,target_cod_mg_l_plus_30min,validation,1281,75.09098043053012,96.44233278068438,9.38314962086816,0.6048479794013413,5.206416100030765
xgboost,target_cod_mg_l_plus_30min,validation,1281,75.92361862400108,97.61868762750285,9.501168062293234,0.5951494597414932,4.760699999984354
hist_gradient_boosting,target_cod_mg_l_plus_30min,validation,1281,76.65618899838238,98.7555973976806,9.586823485214598,0.5856644144470691,6.158514600014314
lightgbm,target_cod_mg_l_plus_30min,validation,1281,77.26149534513645,98.76467017937114,9.653038647673787,0.5855882800487531,2.4831037999829277
ridge,target_cod_mg_l_plus_30min,validation,1281,81.21013984475903,103.59328707815983,10.132674243153463,0.5440764547209759,0.056649999984074384
mlp_neural_baseline,target_cod_mg_l_plus_30min,validation,1281,98.84745440610678,136.6826694348071,12.296494545654747,0.20630124743043543,7.921963700035121
persistence_current_value,target_cod_mg_l_plus_30min,validation,1281,102.93129443896018,134.00526194839784,12.826838133987737,0.23709142263954186,
dummy_mean,target_cod_mg_l_plus_30min,validation,1281,129.0233159545297,153.43635933989302,16.398719504940658,-0.00019657741353706903,0.0006867999909445643
extra_trees,target_ph_plus_30min,test,1291,0.06719587381869953,0.08425208460761946,0.9102733021056855,0.8114885792875925,9.634992600011174
catboost,target_ph_plus_30min,test,1291,0.06849540232316838,0.08600255987879855,0.9284566135759074,0.803573936763595,5.225671999971382
random_forest,target_ph_plus_30min,test,1291,0.07153996491305499,0.09438986949606956,0.9697445392732883,0.7633932515464521,32.40445000003092
lightgbm,target_ph_plus_30min,test,1291,0.0723009721917388,0.09296644775939279,0.9800162674983083,0.7704756163143005,2.534914200019557
hist_gradient_boosting,target_ph_plus_30min,test,1291,0.07247041392386602,0.09369300865629257,0.981931296331833,0.7668739922990637,6.653610899986234
ridge,target_ph_plus_30min,test,1291,0.07604019911831263,0.09501541412663451,1.0310190611536045,0.7602467587156986,0.04850659996736795
xgboost,target_ph_plus_30min,test,1291,0.07749605067495635,0.10843367519737819,1.0511302463056817,0.6877483717925057,4.504622299980838
persistence_current_value,target_ph_plus_30min,test,1291,0.09130830961693233,0.11496340940236313,1.2364175250302727,0.6490092866067618,
dummy_mean,target_ph_plus_30min,test,1291,0.1682122137423195,0.19474727116126625,2.281916042618861,-0.0072078872699192775,0.00034359999699518085
mlp_neural_baseline,target_ph_plus_30min,test,1291,0.3653767014085437,0.6298265058219705,4.962143604407439,-9.534604205501399,6.912275100010447
extra_trees,target_ph_plus_30min,validation,1281,0.06441219047984617,0.08161447156786514,0.8678485465528056,0.8204161046478904,9.634992600011174
catboost,target_ph_plus_30min,validation,1281,0.06539087394468893,0.0826835271813747,0.8814013966831963,0.8156806071297467,5.225671999971382
random_forest,target_ph_plus_30min,validation,1281,0.06549698717329407,0.08353188471305942,0.88236264747928,0.8118788597828452,32.40445000003092
xgboost,target_ph_plus_30min,validation,1281,0.06684271827743835,0.08503182885778156,0.9009383349755237,0.8050621905825589,4.504622299980838
hist_gradient_boosting,target_ph_plus_30min,validation,1281,0.06783908656582668,0.08581250724993288,0.9144355185897745,0.8014663056494512,6.653610899986234
lightgbm,target_ph_plus_30min,validation,1281,0.06802604100320873,0.08611983057999484,0.9170600132992632,0.8000417279535974,2.534914200019557
ridge,target_ph_plus_30min,validation,1281,0.0739549151649628,0.09399192406084844,0.9990426870673998,0.7618151570703396,0.04850659996736795
persistence_current_value,target_ph_plus_30min,validation,1281,0.09134912541906261,0.11385231996719136,1.231918838364506,0.6505244388880789,
dummy_mean,target_ph_plus_30min,validation,1281,0.16644411634480683,0.19334513322444571,2.242823802113734,-0.007858426021976728,0.00034359999699518085
mlp_neural_baseline,target_ph_plus_30min,validation,1281,0.40437736134550273,0.8350375518251827,5.497787660565416,-17.79944612041759,6.912275100010447
xgboost,target_tss_mg_l_plus_30min,test,1291,36.10276500697039,46.683168965074685,11.222160574204395,0.723119372253662,4.897847999993246
catboost,target_tss_mg_l_plus_30min,test,1291,36.356103086041166,46.844443913514866,11.302345381219476,0.7212030052966705,5.821217600023374
extra_trees,target_tss_mg_l_plus_30min,test,1291,36.39363907224283,47.12272423731757,11.333398586786974,0.717880768751717,10.018451400042977
